OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30177,2023-096R,2025-07-29T02:03:28.394784,15.14814051,.0015593,42.9999,349.5054,308.1557,51.7884,0,U,57305,999,11298,.22531E-2,.42754E-3,0
STARLINK-30200,2023-096S,2025-07-28T16:04:26.152032,15.16678240,.0016129,42.9993,349.8472,310.0787,49.8646,0,U,57306,999,11295,.21259E-2,.42543E-3,0
STARLINK-30209,2023-096T,2025-07-28T19:59:25.131264,15.14477620,.0014702,42.9989,351.0362,308.6221,51.3309,0,U,57307,999,11295,.21723E-2,.40796E-3,0
STARLINK-30194,2023-096U,2025-07-29T06:00:02.000160,15.52975943,.0028112,42.9901,316.8324,356.4447,178.2910,0,U,57308,999,11337,.41082E-2,.275899E-2,0
STARLINK-30163,2023-096V,2025-07-28T15:05:24.152064,15.25731505,.0022251,42.9990,338.4919,322.4477,37.4819,0,U,57309,999,11326,.24192E-2,.63663E-3,0
STARLINK-30184,2023-096W,2025-07-28T10:07:23.919168,15.02532855,.0001223,43.0043,335.7441,273.8238,86.2464,0,U,57310,999,11328,-.56283E-4,-.964E-5,0
STARLINK-30175,2023-096X,2025-07-28T16:48:46.982592,15.14305536,.0014697,42.9986,351.7752,308.3456,51.6069,0,U,57311,999,11303,.21034E-2,.39294E-3,0
STARLINK-6290,2023-099A,2025-07-29T04:44:22.208928,15.02536083,.0001239,43.0057,23.7039,268.5363,91.5337,0,U,57328,999,11323,.54224E-4,.529E-5,0
STARLINK-6138,2023-099B,2025-07-28T18:55:37.178400,15.02531605,.0001186,43.0042,25.7963,272.3400,87.7307,0,U,57329,999,11317,.21291E-4,.84E-6,0
STARLINK-6212,2023-099C,2025-07-29T04:39:34.280064,15.02537814,.0001236,43.0068,23.6799,267.1397,92.9304,0,U,57330,999,11323,.46765E-4,.428E-5,0
